單位代碼,單位全銜,單位縮寫,階層,上層單位代碼
395590003-,臺南市白河區公所會計室,白河會計室,2,395590000A
395590004-,臺南市白河區公所人事室,白河人事室,2,395590000A
395590005-,臺南市白河區公所政風室,白河政風室,2,395590000A
395590006-,臺南市白河區公所民政及人文課,白河民政及人文課,2,395590000A
395590007-,臺南市白河區公所社會課,白河社會課,2,395590000A
395590008-,臺南市白河區公所農業及建設課,白河農業及建設課,2,395590000A
395590009-,臺南市白河區公所農業課(原),白河農業課(原),2,395590000A
395590010-,臺南市白河區公所主任秘書室,白河主任秘書室,2,395590000A
395600000A,臺南市麻豆區公所,麻豆區公所,1,395000000A
395600001-,臺南市麻豆區公所區長室,麻豆區長室,2,395600000A
395600002-,臺南市麻豆區公所主任秘書室,麻豆主任秘書室,2,395600000A
395600003-,臺南市麻豆區公所行政課,麻豆行政課,2,395600000A
395600004-,臺南市麻豆區公所會計室,麻豆會計室,2,395600000A
395600005-,臺南市麻豆區公所人事室,麻豆人事室,2,395600000A
395600006-,臺南市麻豆區公所政風室,麻豆政風室,2,395600000A
395600007-,臺南市麻豆區公所人文課(原),麻豆人文課(原),2,395600000A
395600008-,臺南市麻豆區公所民政及人文課,麻豆民政及人文課,2,395600000A
395600009-,臺南市麻豆區公所社會課,麻豆社會課,2,395600000A
395600010-,臺南市麻豆區公所農業及建設課,麻豆農業及建設課,2,395600000A
395600011-,臺南市麻豆區公所農業課(原),麻豆農業課(原),2,395600000A
395610000A,臺南市佳里區公所,佳里區公所,1,395000000A
395610001-,臺南市佳里區公所行政課,佳里行政課,2,395610000A
395610002-,臺南市佳里區公所會計室,佳里會計室,2,395610000A
395610003-,臺南市佳里區公所人事室,佳里人事室,2,395610000A
395610004-,臺南市佳里區公所政風室,佳里政風室,2,395610000A
395610005-,臺南市佳里區公所人文課(原),佳里人文課(原),2,395610000A
395610006-,臺南市佳里區公所民政及人文課,佳里民政及人文課,2,395610000A
395610007-,臺南市佳里區公所社會課,佳里社會課,2,395610000A
395610008-,臺南市佳里區公所農業及建設課,佳里農業及建設課,2,395610000A
395610009-,臺南市佳里區公所農業課(原),佳里農業課(原),2,395610000A
395610010-,臺南市佳里區公所區長室,佳里區長室,2,395610000A
395610011-,臺南市佳里區公所主任秘書室,佳里主任秘書室,2,395610000A
395620000A,臺南市新化區公所,新化區公所,1,395000000A
395620001-,臺南市新化區公所區長室,新化區長室,2,395620000A
395620002-,臺南市新化區公所主任秘書室,新化主任秘書室,2,395620000A
395620003-,臺南市新化區公所行政課,新化行政課,2,395620000A
395620004-,臺南市新化區公所會計室,新化會計室,2,395620000A
395620005-,臺南市新化區公所人事室,新化人事室,2,395620000A
395620006-,臺南市新化區公所政風室,新化政風室,2,395620000A
395620007-,臺南市新化區公所人文課(原),新化人文課(原),2,395620000A
395620008-,臺南市新化區公所民政及人文課,新化民政及人文課,2,395620000A
395620009-,臺南市新化區公所社會課,新化社會課,2,395620000A
395620010-,臺南市新化區公所農業及建設課,新化農業及建設課,2,395620000A
395620011-,臺南市新化區公所農業課(原),新化農業課(原),2,395620000A
395630000A,臺南市善化區公所,善化區公所,1,395000000A
395630001-,臺南市善化區公所行政課,善化行政課,2,395630000A
395630002-,臺南市善化區公所會計室,善化會計室,2,395630000A
395630003-,臺南市善化區公所人事室,善化人事室,2,395630000A
395630004-,臺南市善化區公所政風室,善化政風室,2,395630000A
395630005-,臺南市善化區公所民政及人文課,善化民政及人文課,2,395630000A
395630006-,臺南市善化區公所民政課(原),善化民政課(原),2,395630000A
395630007-,臺南市善化區公所社會課,善化社會課,2,395630000A
395630008-,臺南市善化區公所農業及建設課,善化農業及建設課,2,395630000A
395630009-,臺南市善化區公所農業課(原),善化農業課(原),2,395630000A
395630010-,臺南市善化區公所區長室,善化區長室,2,395630000A
395630011-,臺南市善化區公所主任秘書室,善化主任秘書室,2,395630000A
395630012-,臺南市善化區公所人事室 (註銷),人事室 (註銷),2,395630000A
395630013-,臺南市善化區公所會計室 (註銷),會計室 (註銷),2,395630000A
395630014-,臺南市善化區公所政風室 (註銷),政風室 (註銷),2,395630000A
395630021-,臺南市善化區公所行政課 (註銷),行政課 (註銷),2,395630000A
395630022-,臺南市善化區公所民政及人文課 (註銷),民政及人文課 (註銷),2,395630000A
395630023-,臺南市善化區公所社會課 (註銷),社會課 (註銷),2,395630000A
395630024-,臺南市善化區公所農業及建設課 (註銷),農業及建設課 (註銷),2,395630000A
395640000A,臺南市學甲區公所,學甲區公所,1,395000000A
395640001-,臺南市學甲區公所行政課,學甲行政課,2,395640000A
395640002-,臺南市學甲區公所會計室,學甲會計室,2,395640000A
395640003-,臺南市學甲區公所人事室,學甲人事室,2,395640000A
395640004-,臺南市學甲區公所政風室,學甲政風室,2,395640000A
395640005-,臺南市學甲區公所民政及人文課,學甲民政及人文課,2,395640000A
395640006-,臺南市學甲區公所民政課(原),學甲民政課(原),2,395640000A
395640007-,臺南市學甲區公所社會課,學甲社會課,2,395640000A
395640008-,臺南市學甲區公所農業及建設課,學甲農業及建設課,2,395640000A
395640009-,臺南市學甲區公所農業課(原),學甲農業課(原),2,395640000A
395640010-,臺南市學甲區公所區長室,學甲區長室,2,395640000A
395640011-,臺南市學甲區公所主任秘書室,學甲主任秘書室,2,395640000A
395650000A,臺南市柳營區公所,柳營區公所,1,395000000A
395650001-,臺南市柳營區公所行政課,柳營行政課,2,395650000A
395650002-,臺南市柳營區公所會計室,柳營會計室,2,395650000A
395650003-,臺南市柳營區公所人事室,柳營人事室,2,395650000A
395650004-,臺南市柳營區公所政風室,柳營政風室,2,395650000A
395650005-,臺南市柳營區公所民政及人文課,柳營民政及人文課,2,395650000A
395650006-,臺南市柳營區公所社會課,柳營社會課,2,395650000A
395650007-,臺南市柳營區公所農業及建設課,柳營農業及建設課,2,395650000A
395650008-,臺南市柳營區公所農業課(原),柳營農業課(原),2,395650000A
395650009-,臺南市柳營區公所區長室,柳營區長室,2,395650000A
395650010-,臺南市柳營區公所主任秘書室,柳營主任秘書室,2,395650000A
395660000A,臺南市後壁區公所,後壁區公所,1,395000000A
395660001-,臺南市後壁區公所區長室,後壁區長室,2,395660000A
395660002-,臺南市後壁區公所主任秘書室,後壁主任秘書室,2,395660000A
395660003-,臺南市後壁區公所行政課,後壁行政課,2,395660000A
395660004-,臺南市後壁區公所會計室,後壁會計室,2,395660000A
395660005-,臺南市後壁區公所人事室,後壁人事室,2,395660000A
395660006-,臺南市後壁區公所政風室,後壁政風室,2,395660000A
395660007-,臺南市後壁區公所民政及人文課,後壁民政及人文課,2,395660000A
395660008-,臺南市後壁區公所社會課,後壁社會課,2,395660000A
395660009-,臺南市後壁區公所農業及建設課,後壁農業及建設課,2,395660000A
395660010-,臺南市後壁區公所農業課(原),後壁農業課(原),2,395660000A
395670000A,臺南市東山區公所,東山區公所,1,395000000A
395670001-,臺南市東山區公所行政課,東山行政課,2,395670000A
395670002-,臺南市東山區公所會計室,東山會計室,2,395670000A
395670003-,臺南市東山區公所民政及人文課,東山民政及人文課,2,395670000A
395670004-,臺南市東山區公所社會課,東山社會課,2,395670000A
395670005-,臺南市東山區公所農業及建設課,東山農業及建設課,2,395670000A
395670006-,臺南市東山區公所主任秘書室,東山主任秘書室,2,395670000A
395670007-,臺南市東山區公所區長室,東山區長室,2,395670000A
395670008-,臺南市東山區公所人事室,東山人事室,2,395670000A
395670009-,臺南市東山區公所政風室,東山政風室,2,395670000A
395680000A,臺南市下營區公所,下營區公所,1,395000000A
395680001-,臺南市下營區公所區長室,下營區長室,2,395680000A
395680002-,臺南市下營區公所主任秘書室,下營主任秘書室,2,395680000A
395680003-,臺南市下營區公所行政課,下營行政課,2,395680000A
395680004-,臺南市下營區公所會計室,下營會計室,2,395680000A
395680005-,臺南市下營區公所人事室,下營人事室,2,395680000A
395680006-,臺南市下營區公所政風室,下營政風室,2,395680000A
395680007-,臺南市下營區公所民政及人文課,下營民政及人文課,2,395680000A
395680008-,臺南市下營區公所社會課,下營社會課,2,395680000A
395680009-,臺南市下營區公所農業及建設課,下營農業及建設課,2,395680000A
395680010-,臺南市下營區公所農業課(原),下營農業課(原),2,395680000A
395680011-,臺南市下營區公所秘書室 (註銷),行政課 (註銷),2,395680000A
395680012-,臺南市下營區公所人事室 (註銷),人事室 (註銷),2,395680000A
395680013-,臺南市下營區公所會計室 (註銷),會計室 (註銷),2,395680000A
395680014-,臺南市下營區公所政風室 (註銷),政風室 (註銷),2,395680000A
395680016-,臺南市下營區公所圖書館 (註銷),圖書館 (註銷),2,395680000A
395680021-,臺南市下營區公所民政課 (註銷),民政課 (註銷),2,395680000A
395680022-,臺南市下營區公所社會課 (註銷),社會課 (註銷),2,395680000A
395680023-,臺南市下營區公所農業課 (註銷),農業課 (註銷),2,395680000A
395680024-,臺南市下營區公所建設課 (註銷),建設課 (註銷),2,395680000A
395680031-,臺南市下營區公所蓮華園 (註銷),蓮華園 (註銷),2,395680000A
395690000A,臺南市六甲區公所,六甲區公所,1,395000000A
395690001-,臺南市六甲區公所區長室,六甲區長室,2,395690000A
395690002-,臺南市六甲區公所主任秘書室,六甲主任秘書室,2,395690000A
395690003-,臺南市六甲區公所行政課,六甲行政課,2,395690000A
395690004-,臺南市六甲區公所會計室,六甲會計室,2,395690000A
395690005-,臺南市六甲區公所人事室,六甲人事室,2,395690000A
395690006-,臺南市六甲區公所民政及人文課,六甲民政及人文課,2,395690000A
395690007-,臺南市六甲區公所社會課,六甲社會課,2,395690000A
395690008-,臺南市六甲區公所農業及建設課,六甲農業及建設課,2,395690000A
395690009-,臺南市六甲區公所農業課(原),六甲農業課(原),2,395690000A
395690010-,臺南市六甲區公所政風室,六甲政風室,2,395690000A
395700000A,臺南市官田區公所,官田區公所,1,395000000A
395700001-,臺南市官田區公所區長室,官田區長室,2,395700000A
395700002-,臺南市官田區公所行政課,官田行政課,2,395700000A
395700003-,臺南市官田區公所會計室,官田會計室,2,395700000A
395700004-,臺南市官田區公所人事室,官田人事室,2,395700000A
395700005-,臺南市官田區公所政風室,官田政風室,2,395700000A
395700006-,臺南市官田區公所民政及人文課,官田民政及人文課,2,395700000A
395700007-,臺南市官田區公所社會課,官田社會課,2,395700000A
395700008-,臺南市官田區公所農業及建設課,官田農業及建設課,2,395700000A
395700009-,臺南市官田區公所農業課(原),官田農業課(原),2,395700000A
395700010-,臺南市官田區公所主任秘書室,官田主任秘書室,2,395700000A
395710000A,臺南市大內區公所,大內區公所,1,395000000A
395710001-,臺南市大內區公所行政課(原),大內行政課(原),2,395710000A
395710002-,臺南市大內區公所會計室,大內會計室,2,395710000A
395710003-,臺南市大內區公所人事室,大內人事室,2,395710000A
395710004-,臺南市大內區公所政風室,大內政風室,2,395710000A
395710005-,臺南市大內區公所民政及人文課,大內民政及人文課,2,395710000A
395710006-,臺南市大內區公所社會及行政課,大內社會及行政課,2,395710000A
395710007-,臺南市大內區公所農業及建設課,大內農業及建設課,2,395710000A
395710008-,臺南市大內區公所農業課(原),大內農業課(原),2,395710000A
395710009-,臺南市大內區公所區長室,大內區長室,2,395710000A
395710010-,臺南市大內區公所主任秘書室,大內主任秘書室,2,395710000A
395720000A,臺南市西港區公所,西港區公所,1,395000000A
395720001-,臺南市西港區公所行政課,西港行政課,2,395720000A
395720002-,臺南市西港區公所會計室,西港會計室,2,395720000A
395720003-,臺南市西港區公所人事室,西港人事室,2,395720000A
395720004-,臺南市西港區公所政風室,西港政風室,2,395720000A
395720005-,臺南市西港區公所民政及人文課,西港民政及人文課,2,395720000A
395720006-,臺南市西港區公所民政課(原),西港民政課(原),2,395720000A
395720007-,臺南市西港區公所社會課,西港社會課,2,395720000A
395720008-,臺南市西港區公所農業及建設課,西港農業及建設課,2,395720000A
395720009-,臺南市西港區公所農業課(原),西港農業課(原),2,395720000A
395720010-,臺南市西港區公所區長室,西港區長室,2,395720000A
395720011-,臺南市西港區公所主任秘書室,西港主任秘書室,2,395720000A
395730000A,臺南市七股區公所,七股區公所,1,395000000A
395730001-,臺南市七股區公所區長室,七股區長室,2,395730000A
395730002-,臺南市七股區公所主任秘書室,七股主任秘書室,2,395730000A
395730003-,臺南市七股區公所行政課,七股行政課,2,395730000A
395730004-,臺南市七股區公所會計室,七股會計室,2,395730000A
395730005-,臺南市七股區公所人事室,七股人事室,2,395730000A
395730006-,臺南市七股區公所政風室,七股政風室,2,395730000A
395730007-,臺南市七股區公所民政及人文課,七股民政及人文課,2,395730000A
395730008-,臺南市七股區公所社會課,七股社會課,2,395730000A
395730009-,臺南市七股區公所農業及建設課,七股農業及建設課,2,395730000A
395730010-,臺南市七股區公所農業課(原),七股農業課(原),2,395730000A
395740000A,臺南市將軍區公所,將軍區公所,1,395000000A
395740001-,臺南市將軍區公所行政課,將軍行政課,2,395740000A
395740002-,臺南市將軍區公所會計室,將軍會計室,2,395740000A
395740003-,臺南市將軍區公所人事室,將軍人事室,2,395740000A
395740004-,臺南市將軍區公所政風室,將軍政風室,2,395740000A
395740005-,臺南市將軍區公所民政及人文課,將軍民政及人文課,2,395740000A
395740006-,臺南市將軍區公所社會課,將軍社會課,2,395740000A
395740007-,臺南市將軍區公所農業及建設課,將軍農業及建設課,2,395740000A
395740008-,臺南市將軍區公所農業課(原),將軍農業課(原),2,395740000A
395740009-,臺南市將軍區公所區長室,將軍區長室,2,395740000A
395740010-,臺南市將軍區公所主任秘書室,將軍主任秘書室,2,395740000A
395750000A,臺南市北門區公所,北門區公所,1,395000000A
395750001-,臺南市北門區公所行政課,北門行政課,2,395750000A
395750002-,臺南市北門區公所會計室,北門會計室,2,395750000A
395750003-,臺南市北門區公所人事室,北門人事室,2,395750000A
395750004-,臺南市北門區公所民政及人文課,北門民政及人文課,2,395750000A
395750005-,臺南市北門區公所社會課,北門社會課,2,395750000A
395750006-,臺南市北門區公所農業及建設課,北門農業及建設課,2,395750000A
395750007-,臺南市北門區公所農業課(原),北門農業課(原),2,395750000A
395750008-,臺南市北門區公所政風室,北門政風室,2,395750000A
395750009-,臺南市北門區公所區長室,北門區長室,2,395750000A
395750010-,臺南市北門區公所主任秘書室,北門主任秘書室,2,395750000A
395760000A,臺南市新市區公所,新市區公所,1,395000000A
395760001-,臺南市新市區公所區長室,新市區長室,2,395760000A
395760002-,臺南市新市區公所主任秘書室,新市主任秘書室,2,395760000A
395760003-,臺南市新市區公所行政課,新市行政課,2,395760000A
395760004-,臺南市新市區公所人事室,新市人事室,2,395760000A
395760005-,臺南市新市區公所政風室,新市政風室,2,395760000A
395760006-,臺南市新市區公所民政及人文課,新市民政及人文課,2,395760000A
395760007-,臺南市新市區公所民政課(原),新市民政課(原),2,395760000A
395760008-,臺南市新市區公所社會課,新市社會課,2,395760000A
395760009-,臺南市新市區公所農業及建設課,新市農業及建設課,2,395760000A
395760010-,臺南市新市區公所農業課(原),新市農業課(原),2,395760000A
395760011-,臺南市新市區公所會計室,新市會計室,2,395760000A
395770000A,臺南市安定區公所,安定區公所,1,395000000A
395770001-,臺南市安定區公所區長室,安定區長室,2,395770000A
395770002-,臺南市安定區公所主任秘書室,安定主任秘書室,2,395770000A
395770003-,臺南市安定區公所行政課,安定行政課,2,395770000A
395770004-,臺南市安定區公所會計室,安定會計室,2,395770000A
395770005-,臺南市安定區公所人事室,安定人事室,2,395770000A
395770006-,臺南市安定區公所人文課(原),安定人文課(原),2,395770000A
395770007-,臺南市安定區公所民政及人文課,安定民政及人文課,2,395770000A
395770008-,臺南市安定區公所社會課,安定社會課,2,395770000A
395770009-,臺南市安定區公所農業及建設課,安定農業及建設課,2,395770000A
395770010-,臺南市安定區公所農業課(原),安定農業課(原),2,395770000A
395770011-,臺南市安定區公所政風室,安定政風室,2,395770000A
395780000A,臺南市山上區公所,山上區公所,1,395000000A
395780001-,臺南市山上區公所會計室,山上會計室,2,395780000A
395780002-,臺南市山上區公所人事室,山上人事室,2,395780000A
395780003-,臺南市山上區公所政風室,山上政風室,2,395780000A
395780004-,臺南市山上區公所民政及人文課,山上民政及人文課,2,395780000A
395780005-,臺南市山上區公所社會及行政課,山上社會及行政課,2,395780000A
395780006-,臺南市山上區公所農業及建設課,山上農業及建設課,2,395780000A
395780007-,臺南市山上區公所農業課(原),山上農業課(原),2,395780000A
395780008-,臺南市山上區公所區長室,山上區長室,2,395780000A
395780009-,臺南市山上區公所主任秘書室,山上主任秘書室,2,395780000A
395790000A,臺南市玉井區公所,玉井區公所,1,395000000A
395790001-,臺南市玉井區公所區長室,玉井區長室,2,395790000A
395790002-,臺南市玉井區公所行政課,玉井行政課,2,395790000A
395790003-,臺南市玉井區公所會計室,玉井會計室,2,395790000A
395790004-,臺南市玉井區公所人事室,玉井人事室,2,395790000A
395790005-,臺南市玉井區公所政風室,玉井政風室,2,395790000A
395790006-,臺南市玉井區公所民政及人文課,玉井民政及人文課,2,395790000A
395790007-,臺南市玉井區公所社會課,玉井社會課,2,395790000A
395790008-,臺南市玉井區公所農業及建設課,玉井農業及建設課,2,395790000A
395790009-,臺南市玉井區公所農業課(原),玉井農業課(原),2,395790000A
395790010-,臺南市玉井區公所主任秘書室,玉井主任秘書室,2,395790000A
395800000A,臺南市楠西區公所,楠西區公所,1,395000000A
395800001-,臺南市楠西區公所區長室,楠西區長室,2,395800000A
395800002-,臺南市楠西區公所主任秘書室,楠西主任秘書室,2,395800000A
395800003-,臺南市楠西區公所行政課(原),楠西行政課(原),2,395800000A
395800004-,臺南市楠西區公所會計室,楠西會計室,2,395800000A
395800005-,臺南市楠西區公所人事室,楠西人事室,2,395800000A
395800006-,臺南市楠西區公所人文課(原),楠西人文課(原),2,395800000A
395800007-,臺南市楠西區公所民政及人文課,楠西民政及人文課,2,395800000A
395800008-,臺南市楠西區公所社會及行政課,楠西社會及行政課,2,395800000A
395800009-,臺南市楠西區公所農業及建設課,楠西農業及建設課,2,395800000A
395800010-,臺南市楠西區公所農業課(原),楠西農業課(原),2,395800000A
395810000A,臺南市南化區公所,南化區公所,1,395000000A
395810001-,臺南市南化區公所區長室,南化區長室,2,395810000A
395810002-,臺南市南化區公所主任秘書室,南化主任秘書室,2,395810000A
395810003-,臺南市南化區公所會計室,南化會計室,2,395810000A
395810004-,臺南市南化區公所人事室,南化人事室,2,395810000A
395810005-,臺南市南化區公所民政及人文課,南化民政及人文課,2,395810000A
395810006-,臺南市南化區公所行政課(原),南化行政課(原),2,395810000A
395810007-,臺南市南化區公所社會及行政課,南化社會及行政課,2,395810000A
395810008-,臺南市南化區公所農業及建設課,南化農業及建設課,2,395810000A
395810009-,臺南市南化區公所農業課(原),南化農業課(原),2,395810000A
395810010-,臺南市南化區公所政風室,南化政風室,2,395810000A
395820000A,臺南市左鎮區公所,左鎮區公所,1,395000000A
395820001-,臺南市左鎮區公所會計室,左鎮會計室,2,395820000A
395820002-,臺南市左鎮區公所人事室,左鎮人事室,2,395820000A
395820003-,臺南市左鎮區公所政風室,左鎮政風室,2,395820000A
395820004-,臺南市左鎮區公所民政及人文課,左鎮民政及人文課,2,395820000A
395820005-,臺南市左鎮區公所社會及行政課,左鎮社會及行政課,2,395820000A
395820006-,臺南市左鎮區公所農業及建設課,左鎮農業及建設課,2,395820000A
395820007-,臺南市左鎮區公所農業課(原),左鎮農業課(原),2,395820000A
395820008-,臺南市左鎮區公所區長室,左鎮區長室,2,395820000A
395820009-,臺南市左鎮區公所主任秘書室,左鎮主任秘書室,2,395820000A
395830000A,臺南市仁德區公所,仁德區公所,1,395000000A
395830001-,臺南市仁德區公所行政課,仁德行政課,2,395830000A
395830002-,臺南市仁德區公所會計室,仁德會計室,2,395830000A
395830003-,臺南市仁德區公所人事室,仁德人事室,2,395830000A
395830004-,臺南市仁德區公所政風室,仁德政風室,2,395830000A
395830005-,臺南市仁德區公所人文課,仁德人文課,2,395830000A
395830006-,臺南市仁德區公所民政課,仁德民政課,2,395830000A
395830007-,臺南市仁德區公所社會課,仁德社會課,2,395830000A
395830008-,臺南市仁德區公所經建課,仁德經建課,2,395830000A
395830009-,臺南市仁德區公所農業課(原),仁德農業課(原),2,395830000A
395830010-,臺南市仁德區公所區長室,仁德區長室,2,395830000A
395830011-,臺南市仁德區公所主任秘書室,仁德主任秘書室,2,395830000A
395840000A,臺南市歸仁區公所,歸仁區公所,1,395000000A
395840001-,臺南市歸仁區公所區長室,歸仁區長室,2,395840000A
395840002-,臺南市歸仁區公所主任秘書室,歸仁主任秘書室,2,395840000A
395840003-,臺南市歸仁區公所行政課,歸仁行政課,2,395840000A
395840004-,臺南市歸仁區公所會計室,歸仁會計室,2,395840000A
395840005-,臺南市歸仁區公所人事室,歸仁人事室,2,395840000A
395840006-,臺南市歸仁區公所政風室,歸仁政風室,2,395840000A
395840007-,臺南市歸仁區公所人文課,歸仁人文課,2,395840000A
395840008-,臺南市歸仁區公所民政課,歸仁民政課,2,395840000A
395840009-,臺南市歸仁區公所社會課,歸仁社會課,2,395840000A
395840010-,臺南市歸仁區公所經建課,歸仁經建課,2,395840000A
395840011-,臺南市歸仁區公所農業課,歸仁農業課,2,395840000A
395850000A,臺南市關廟區公所,關廟區公所,1,395000000A
395850001-,臺南市關廟區公所區長室,關廟區長室,2,395850000A
395850002-,臺南市關廟區公所主任秘書室,關廟主任秘書室,2,395850000A
395850003-,臺南市關廟區公所行政課,關廟行政課,2,395850000A
395850004-,臺南市關廟區公所會計室,關廟會計室,2,395850000A
395850005-,臺南市關廟區公所人事室,關廟人事室,2,395850000A
395850006-,臺南市關廟區公所政風室,關廟政風室,2,395850000A
395850007-,臺南市關廟區公所人文課(原),關廟人文課(原),2,395850000A
395850008-,臺南市關廟區公所民政及人文課,關廟民政及人文課,2,395850000A
395850009-,臺南市關廟區公所社會課,關廟社會課,2,395850000A
395850010-,臺南市關廟區公所農業及建設課,關廟農業及建設課,2,395850000A
395850011-,臺南市關廟區公所農業課(原),關廟農業課(原),2,395850000A
395860000A,臺南市龍崎區公所,龍崎區公所,1,395000000A
395860001-,臺南市龍崎區公所區長室,龍崎區長室,2,395860000A
395860002-,臺南市龍崎區公所主任秘書室,龍崎主任秘書室,2,395860000A
395860003-,臺南市龍崎區公所會計室,龍崎會計室,2,395860000A
395860004-,臺南市龍崎區公所人事室,龍崎人事室,2,395860000A
395860005-,臺南市龍崎區公所民政及人文課,龍崎民政及人文課,2,395860000A
395860006-,臺南市龍崎區公所社會及行政課,龍崎社會及行政課,2,395860000A
395860007-,臺南市龍崎區公所農業及建設課,龍崎農業及建設課,2,395860000A
395860008-,臺南市龍崎區公所農經課(原),龍崎農經課(原),2,395860000A
395870000A,臺南市永康區公所,永康區公所,1,395000000A
395870001-,臺南市永康區公所行政課,永康行政課,2,395870000A
395870002-,臺南市永康區公所會計室,永康會計室,2,395870000A
395870003-,臺南市永康區公所人事室,永康人事室,2,395870000A
395870004-,臺南市永康區公所政風室,永康政風室,2,395870000A
395870005-,臺南市永康區公所人文課,永康人文課,2,395870000A
395870006-,臺南市永康區公所工務課,永康工務課,2,395870000A
395870007-,臺南市永康區公所民政課,永康民政課,2,395870000A
395870008-,臺南市永康區公所社會課,永康社會課,2,395870000A
395870009-,臺南市永康區公所經建課,永康經建課,2,395870000A
395870010-,臺南市永康區公所區長室,永康區長室,2,395870000A
395870011-,臺南市永康區公所副區長室,永康副區長室,2,395870000A
395870012-,臺南市永康區公所主任秘書室,永康主任秘書室,2,395870000A
395870013-,臺南市永康區公所工務課 (註銷),工務課 (註銷),2,395870000A
395870014-,臺南市永康區公所經建課 (註銷),經建課 (註銷),2,395870000A
395870015-,臺南市永康區公所人文課 (註銷),人文課 (註銷),2,395870000A
395870016-,臺南市永康區公所行政課 (註銷),行政課 (註銷),2,395870000A
395870017-,臺南市永康區公所人事室 (註銷),人事室 (註銷),2,395870000A
395870018-,臺南市永康區公所會計室 (註銷),會計室 (註銷),2,395870000A
395870019-,臺南市永康區公所政風室 (註銷),政風室 (註銷),2,395870000A
395XXXXXXX,未分類機關(單位),未分類機關(單位),1,395000000A
396000000A,(外) 臺南市議會,(外) 臺南市議會,2,395001100-
